200	480	300	1088	460	2.400000	1.500000	5.440000	2.300000	
400	920	475	2224	920	2.200000	0.875000	5.680000	2.300000	
600	1380	750	3368	1380	2.300000	1.375000	5.720000	2.300000	
800	1860	940	4472	1840	2.400000	0.950000	5.520000	2.300000	
1000	2300	1200	5632	2300	2.200000	1.300000	5.800000	2.300000	
1200	2720	1400	6672	2760	2.100000	1.000000	5.200000	2.300000	
1400	3180	1650	7760	3160	2.300000	1.250000	5.440000	2.000000	
1600	3590	1850	8816	3588	2.050000	1.000000	5.280000	2.140000	
1800	4040	2100	9912	4048	2.250000	1.250000	5.480000	2.300000	
2000	4460	2290	10944	4508	2.100000	0.950000	5.160000	2.300000	
2200	4930	2550	12104	4968	2.350000	1.300000	5.800000	2.300000	
2400	5400	2850	13200	5368	2.350000	1.500000	5.480000	2.000000	
2600	5850	3005	14360	5888	2.250000	0.775000	5.800000	2.600000	
2800	6300	3300	15480	6288	2.250000	1.475000	5.600000	2.000000	
3000	6780	3475	16608	6748	2.400000	0.875000	5.640000	2.300000	
3200	7220	3750	17744	7208	2.200000	1.375000	5.680000	2.300000	
3400	7680	3945	18856	7668	2.300000	0.975000	5.560000	2.300000	
3600	8160	4200	20016	8128	2.400000	1.275000	5.800000	2.300000	
3800	8590	4500	21120	8588	2.150000	1.500000	5.520000	2.300000	
4000	9060	4660	22280	9108	2.350000	0.800000	5.800000	2.600000	
4200	9540	4950	23384	9508	2.400000	1.450000	5.520000	2.000000	
4400	9970	5130	24520	9968	2.150000	0.900000	5.680000	2.300000	
4429	10040	5250	24680	10036	2.413793	4.137931	5.517241	2.344828	
share%	0.200776	0.104987	0.493541	0.200696	
200	480	300	1088	460	2.400000	1.500000	5.440000	2.300000	
400	920	475	2224	920	2.200000	0.875000	5.680000	2.300000	
600	1380	750	3368	1380	2.300000	1.375000	5.720000	2.300000	
800	1860	940	4472	1840	2.400000	0.950000	5.520000	2.300000	
1000	2300	1200	5632	2300	2.200000	1.300000	5.800000	2.300000	
1200	2720	1400	6672	2760	2.100000	1.000000	5.200000	2.300000	
1400	3180	1650	7760	3160	2.300000	1.250000	5.440000	2.000000	
1600	3590	1850	8816	3588	2.050000	1.000000	5.280000	2.140000	
1800	4040	2100	9912	4048	2.250000	1.250000	5.480000	2.300000	
2000	4460	2290	10944	4508	2.100000	0.950000	5.160000	2.300000	
2200	4930	2550	12104	4968	2.350000	1.300000	5.800000	2.300000	
2400	5400	2850	13200	5368	2.350000	1.500000	5.480000	2.000000	
2600	5850	3005	14360	5888	2.250000	0.775000	5.800000	2.600000	
2800	6300	3300	15480	6288	2.250000	1.475000	5.600000	2.000000	
3000	6780	3475	16608	6748	2.400000	0.875000	5.640000	2.300000	
3200	7220	3750	17744	7208	2.200000	1.375000	5.680000	2.300000	
3400	7680	3945	18856	7668	2.300000	0.975000	5.560000	2.300000	
3600	8160	4200	20016	8128	2.400000	1.275000	5.800000	2.300000	
3800	8590	4500	21120	8588	2.150000	1.500000	5.520000	2.300000	
4000	9060	4660	22280	9108	2.350000	0.800000	5.800000	2.600000	
4200	9540	4950	23384	9508	2.400000	1.450000	5.520000	2.000000	
4400	9970	5130	24520	9968	2.150000	0.900000	5.680000	2.300000	
4429	10040	5250	24680	10036	2.413793	4.137931	5.517241	2.344828	
share%	0.200776	0.104987	0.493541	0.200696	
200	480	300	1088	460	2.400000	1.500000	5.440000	2.300000	
400	920	475	2224	920	2.200000	0.875000	5.680000	2.300000	
600	1380	750	3368	1380	2.300000	1.375000	5.720000	2.300000	
800	1860	940	4472	1840	2.400000	0.950000	5.520000	2.300000	
1000	2300	1200	5632	2300	2.200000	1.300000	5.800000	2.300000	
1200	2720	1400	6672	2760	2.100000	1.000000	5.200000	2.300000	
1400	3180	1650	7760	3160	2.300000	1.250000	5.440000	2.000000	
1600	3590	1850	8816	3588	2.050000	1.000000	5.280000	2.140000	
1800	4040	2100	9912	4048	2.250000	1.250000	5.480000	2.300000	
2000	4460	2290	10944	4508	2.100000	0.950000	5.160000	2.300000	
2200	4930	2550	12104	4968	2.350000	1.300000	5.800000	2.300000	
2400	5400	2850	13200	5368	2.350000	1.500000	5.480000	2.000000	
2600	5850	3005	14360	5888	2.250000	0.775000	5.800000	2.600000	
2800	6300	3300	15480	6288	2.250000	1.475000	5.600000	2.000000	
