4429	149	149	126.628571	136	
4429	149	149	126.628571	136	
4429	149	149	126.628571	136	
3672	158	158	64.035088	66	
4429	149	149	126.628571	136	
3799	228	228	77.465118	136	
4429	149	149	126.628571	136	
3367	327	138	22.602942	25	
3498	285	284	47.529411	66	
3498	285	284	47.529411	66	
4429	149	149	126.628571	136	
3799	228	228	77.465118	136	
4429	149	149	126.628571	136	
4325	141	141	129.878784	139	
4429	149	149	126.628571	136	
4713	139	139	145.125000	157	
4787	144	144	143.272720	154	
4429	149	149	126.628571	136	
